pos	p_trg	p_err	rpm	r_trg	r_err
2453	0	31655	497240	4	-861934240	31655
2546	0	31655	626583	4	-861934240	31655
2653	0	31655	701446	4	-861934240	31655
2755	0	31655	809546	4	-861934240	31655
2857	0	31655	908689	4	-861934240	31655
2964	0	31655	11457	4	-861934240	31655
3067	0	31655	120857	4	-861934240	31655
3169	0	31655	224144	4	-861934240	31655
3271	0	31655	322664	4	-861934240	31655
3379	0	31655	425011	4	-861934240	31655
3480	0	31655	533068	4	-861934240	31655
3582	0	31655	634376	4	-861934240	31655
3690	0	31655	736218	4	-861934240	31655
3791	0	31655	843638	4	-861934240	31655
3894	0	31655	944930	4	-861934240	31655
3996	0	31655	48006	4	-861934240	31655
4104	0	31655	150488	4	-861934240	31655
4205	0	31655	257724	4	-861934240	31655
4307	0	31655	358584	4	-861934240	31655
4410	0	31655	461065	4	-861934240	31655
4516	0	31655	563625	4	-861934240	31655
4619	0	31655	670486	4	-861934240	31655
4721	0	31655	772778	4	-861934240	31655
4827	0	31655	874885	4	-861934240	31655
4930	0	31655	981252	4	-861934240	31655
5032	0	31655	83205	4	-861934240	31655
5135	0	31655	186226	4	-861934240	31655
5249	0	31655	393856	4	-861934240	31655
5344	0	31655	399502	4	-861934240	31655
5445	0	31655	497471	4	-861934240	31655
5554	0	31655	599410	4	-861934240	31655
5654	0	31655	707912	4	-861934240	31655
5757	0	31655	809016	4	-861934240	31655
5859	0	31655	911358	4	-861934240	31655
5971	0	31655	13222	4	-861934240	31655
6068	0	31655	124448	4	-861934240	31655
6171	0	31655	222438	4	-861934240	31655
6281	0	31655	325196	4	-861934240	31655
6379	0	31655	435207	4	-861934240	31655
6482	0	31655	533325	4	-861934240	31655
6584	0	31655	635651	4	-861934240	31655
6694	0	31655	738152	4	-861934240	31655
6794	0	31655	848430	4	-861934240	31655
6896	0	31655	948139	4	-861934240	31655
7006	0	31655	49879	4	-861934240	31655
7105	0	31655	159706	4	-861934240	31655
7207	0	31655	258525	4	-861934240	31655
7310	0	31655	360954	4	-861934240	31655
7419	0	31655	463957	4	-861934240	31655
7518	0	31655	572531	4	-861934240	31655
7620	0	31655	672530	4	-861934240	31655
7733	0	31655	882818	4	-861934240	31655
7838	0	31655	883805	4	-861934240	31655
7932	0	31655	992351	4	-861934240	31655
8035	0	31655	85742	4	-861934240	31655
8141	0	31655	188564	4	-861934240	31655
8244	0	31655	295258	4	-861934240	31655
8345	0	31655	406193	4	-861934240	31655
8449	0	31655	501710	4	-861934240	31655
8557	0	31655	616407	4	-861934240	31655
8657	0	31655	711196	4	-861934240	31655
8763	0	31655	815074	4	-861934240	31655
8870	0	31655	944135	4	-861934240	31655
8968	0	31655	27538	4	-861934240	31655
9072	0	31655	123658	4	-861934240	31655
9177	0	31655	225709	4	-861934240	31655
9279	0	31655	332767	4	-861934240	31655
9382	0	31655	435053	4	-861934240	31655
9485	0	31655	535449	4	-861934240	31655
9591	0	31655	640028	4	-861934240	31655
9695	0	31655	754060	4	-861934240	31655
9797	0	31655	850071	4	-861934240	31655
9900	0	31655	952704	4	-861934240	31655
10005	0	31655	53639	4	-861934240	31655
